100 4950
0 1 2540
0 2 4619
0 3 5708
0 4 2903
0 5 1524
0 6 3515
0 7 74
0 8 5489
0 9 4753
0 10 381
0 11 8261
0 12 5948
0 13 2275
0 14 7106
0 15 7577
0 16 6762
0 17 4305
0 18 5697
0 19 4474
0 20 8745
0 21 6368
0 22 2204
0 23 4914
0 24 6053
0 25 4539
0 26 319
0 27 3567
0 28 1699
0 29 8092
0 30 8471
0 31 1101
0 32 5505
0 33 872
0 34 8634
0 35 4236
0 36 8446
0 37 2008
0 38 7272
0 39 8958
0 40 2199
0 41 1186
0 42 8829
0 43 3294
0 44 391
0 45 3674
0 46 17
0 47 2406
0 48 8497
0 49 5484
0 50 8780
0 51 5392
0 52 2640
0 53 9653
0 54 5264
0 55 171
0 56 3657
0 57 477
0 58 3371
0 59 81
0 60 1694
0 61 3713
0 62 565
0 63 3419
0 64 8325
0 65 7259
0 66 473
0 67 5043
0 68 7756
0 69 8642
0 70 7515
0 71 7386
0 72 5987
0 73 2737
0 74 5321
0 75 6739
0 76 6997
0 77 5592
0 78 1003
0 79 9510
0 80 8009
0 81 7982
0 82 5497
0 83 2300
0 84 1633
0 85 5349
0 86 6120
0 87 9136
0 88 1351
0 89 9167
0 90 1263
0 91 8922
0 92 8171
0 93 8471
0 94 8713
0 95 6311
0 96 548
0 97 9243
0 98 8458
0 99 9569
1 2 6668
1 3 3687
1 4 8065
1 5 9715
1 6 8088
1 7 1038
1 8 3694
1 9 6272
1 10 6360
1 11 6470
1 12 2661
1 13 6270
1 14 9756
1 15 4924
1 16 4072
1 17 4809
1 18 5509
1 19 2222
1 20 2531
1 21 7462
1 22 4069
1 23 6728
1 24 6145
1 25 7050
1 26 5821
1 27 952
1 28 4150
1 29 9920
1 30 7393
1 31 4045
1 32 1363
1 33 9774
1 34 4286
1 35 2885
1 36 6348
1 37 279
1 38 8843
1 39 1619
1 40 7711
1 41 1229
1 42 7796
1 43 6912
1 44 8242
1 45 6884
1 46 1577
1 47 8956
1 48 9784
1 49 9226
1 50 8381
1 51 6282
1 52 2628
1 53 3362
1 54 9571
1 55 5838
1 56 2007
1 57 7076
1 58 9430
1 59 8467
1 60 841
1 61 1601
1 62 1492
1 63 3885
1 64 2246
1 65 6123
1 66 5735
1 67 8606
1 68 7547
1 69 4179
1 70 5754
1 71 4856
1 72 5522
1 73 6205
1 74 2718
1 75 8442
1 76 6436
1 77 8782
1 78 3379
1 79 8828
1 80 60
1 81 7790
1 82 2693
1 83 5162
1 84 308
1 85 9650
1 86 7742
1 87 7933
1 88 400
1 89 2109
1 90 8503
1 91 7067
1 92 1516
1 93 3588
1 94 2821
1 95 3805
1 96 4796
1 97 8058
1 98 7398
1 99 5474
2 3 1251
2 4 577
2 5 4040
